,Del,time,chanel 0,channel 1,channel 2,channel 3,channel 4,channel 5,channel 6,channel 7
316,11,xx86977,00   0,01  54,02  57,03  55,04  54,05  55,06  54,07  55
317,11,xx87006,00   0,01  54,02  56,03  55,04  55,05  55,06  54,07  53
318,11,xx87036,00   0,01  55,02  55,03  55,04  55,05  54,06  55,07  54
319,11,xx87065,00   0,01  55,02  55,03  54,04  54,05  55,06  53,07  55
320,11,xx87094,00   0,01  53,02  54,03  55,04  55,05  54,06  53,07  54
321,11,xx87124,00   0,01  53,02  55,03  54,04  55,05  54,06  55,07  53
322,11,xx87153,00   0,01  55,02  55,03  55,04  55,05  55,06  55,07  54
323,11,xx87182,00   0,01  54,02  55,03  56,04  56,05  53,06  55,07  54
324,11,xx87211,00   0,01  54,02  55,03  55,04  54,05  54,06  55,07  54
325,11,xx87241,00   0,01  54,02  54,03  55,04  54,05  55,06  53,07  54
326,11,xx87270,00   0,01  55,02  54,03  53,04  54,05  53,06  56,07  55
327,11,xx87299,00   0,01  55,02  55,03  53,04  54,05  54,06  55,07  54
328,11,xx87329,00   0,01  54,02  55,03  54,04  56,05  55,06  55,07  55
329,11,xx87358,00   0,01  56,02  55,03  55,04  55,05  54,06  55,07  54
330,11,xx87387,00   0,01  54,02  54,03  54,04  54,05  55,06  54,07  53
331,11,xx87416,00   0,01  54,02  55,03  55,04  55,05  54,06  53,07  53
332,11,xx87446,00   0,01  55,02  53,03  56,04  53,05  54,06  57,07  54
333,11,xx87475,00   0,01  54,02  54,03  54,04  53,05  53,06  55,07  54
334,11,xx87504,00   0,01  54,02  55,03  56,04  54,05  53,06  54,07  54
