,Del,time,chanel 0,channel 1,channel 2,channel 3,channel 4,channel 5,channel 6,channel 7
202,11,xx2367270,00   0,01  55,02  56,03  53,04  55,05  53,06  56,07  56
203,11,xx2367299,00   0,01  56,02  54,03  54,04  55,05  54,06  54,07  55
204,11,xx2367329,00   0,01  57,02  56,03  54,04  54,05  55,06  55,07  55
205,11,xx2367358,00   0,01  57,02  54,03  54,04  56,05  56,06  57,07  54
206,11,xx2367387,00   0,01  56,02  54,03  55,04  56,05  55,06  56,07  54
207,11,xx2367416,00   0,01  57,02  55,03  55,04  54,05  53,06  56,07  56
208,11,xx2367446,00   0,01  60,02  56,03  55,04  56,05  52,06  56,07  56
209,11,xx2367475,00   0,01  58,02  56,03  54,04  55,05  54,06  54,07  54
210,11,xx2367504,00   0,01  57,02  55,03  55,04  56,05  54,06  54,07  55
211,11,xx2367534,00   0,01  58,02  53,03  56,04  53,05  55,06  56,07  53
212,11,xx2367563,00   0,01  59,02  55,03  56,04  55,05  54,06  55,07  53
213,11,xx2367592,00   0,01  59,02  55,03  54,04  78,05  55,06  57,07  56
214,11,xx2367622,00   0,01  58,02  53,03  55,04 123,05  54,06  57,07  54
215,11,xx2367651,00   0,01  58,02  57,03  76,04 129,05  58,06  56,07  54
216,11,xx2367680,00   0,01  61,02  58,03  86,04 125,05  61,06  56,07  55
217,11,xx2367709,00   0,01  64,02  57,03  93,04 113,05  64,06  60,07  56
218,11,xx2367739,00   0,01  65,02  60,03  95,04  98,05  67,06  60,07  54
219,11,xx2367768,00   0,01  69,02  61,03  90,04  85,05  68,06  63,07  53
220,11,xx2367797,00   0,01  73,02  60,03  83,04  74,05  73,06  67,07  55
221,11,xx2367827,00   0,01  77,02  59,03  76,04  67,05  74,06  70,07  55
222,11,xx2367856,00   0,01  82,02  59,03  69,04  60,05  75,06  78,07  55
223,11,xx2367885,00   0,01  85,02  58,03  64,04  57,05  77,06  78,07  54
224,11,xx2367915,00   0,01  86,02  56,03  59,04  56,05  78,06  88,07  54
225,11,xx2367944,00   0,01  90,02  56,03  58,04  57,05  77,06  96,07  55
226,11,xx2367973,00   0,01  94,02  55,03  57,04  55,05  76,06 100,07  55
227,11,xx2368002,00   0,01  96,02  54,03  57,04  55,05  71,06 104,07  54
228,11,xx2368032,00   0,01  94,02  54,03  55,04  55,05  69,06 110,07  54
229,11,xx2368061,00   0,01  96,02  57,03  54,04  54,05  66,06 111,07  55
